hours,oxyconc,aclconc,oxyabs,aclabs
48,0.0242,0.0206,89.62962963,82.4
48,0.0244,0.021,90.37037037,84
48,0.025,0.0214,92.59259259,85.6
48,0.025,0.0216,92.59259259,86.4
48,0.0258,0.022,95.55555556,88
48,0.0258,0.024,95.55555556,96
24,0.0134,0.0196,49.62962963,78.4
24,0.0106,0.0194,39.25925926,77.6
24,0.0106,0.0208,39.25925926,83.2
24,0.0144,0.0218,53.33333333,87.2
24,0.0134,0.022,49.62962963,88
24,0.0122,0.0184,45.18518519,73.6
12,0.0108,0.0184,40,73.6
12,0.0114,0.0212,42.22222222,84.8
12,0.0124,0.0218,45.92592593,87.2
12,0.0106,0.0222,39.25925926,88.8
12,0.0102,0.0212,37.77777778,84.8
12,0.012,0.0216,44.44444444,86.4
6,0.0124,0.0208,45.92592593,83.2
6,0.0102,0.0218,37.77777778,87.2
6,0.0126,0.0194,46.66666667,77.6
6,0.0114,0.0198,42.22222222,79.2
6,0.011,0.0196,40.74074074,78.4
6,0.012,0.0204,44.44444444,81.6
0,0.009,0.019,33.33333333,76
0,0.0064,0.02,23.7037037,80
0,0.0076,0.0202,28.14814815,80.8
0,0.0078,0.021,28.88888889,84
0,0.0082,0.0214,30.37037037,85.6
0,0.0092,0.022,34.07407407,88
